id,age,rotoworld_id,sportradar_id,depth_chart_order,number,high_school,weight,height,last_name,search_last_name,full_name,player_id,status,hashtag,gsis_id,birth_city,birth_country,practice_participation,position,birth_date,fantasy_positions,injury_body_part,depth_chart_position,sport,first_name,espn_id,fantasy_data_id,years_exp,rotowire_id,pandascore_id,stats_id,swish_id,college,search_rank,birth_state,team,search_first_name,search_full_name,yahoo_id,injury_start_date,news_updated,injury_status,active,injury_notes,practice_description,personal_tier,ringer_tier,fp_tier,bs_tier,personal_pos_tier,ringer_pos_tier,fp_pos_tier,bs_pos_tier,bye,personal_ranking,ringer_ranking,fp_ranking,bs_ranking,personal_pos_ranking,ringer_pos_ranking,fp_pos_ranking,bs_pos_ranking,fp_adp,fp_ecr,bs_adp,bs_ecr,createdAt,updatedAt
1479,31,8379,5f424505-f29f-433c-b3f2-1a143a04a010,1,13,Northern Guilford (NC),211,74,Allen,allen,Keenan Allen,1479,Active,#keenanallen-NFL-LAC-13,00-0030279,,,,WR,1992-04-27,WR,,SWR,nfl,Keenan,15818,15076,10,8627,,557210,557210,California,39,,LAC,keenan,keenanallen,26699,,1678461937026,,true,,,0,0,5,0,0,4,3,0,5,0,50,38,0,0,19,17,0,46,38,0,0,2023-07-28T16:28:35.403Z,2023-07-28T16:50:45.354Z
1476,33,8585,540f8b30-900e-4d17-8756-c262ba5fa039,3,28,Onondaga Central (FL),230,75,Murray,murray,Latavius Murray,1476,Active,#lataviusmurray-NFL-BUF-28,00-0030513,,,,RB,1990-01-18,RB,,RB,nfl,Latavius,15920,15071,10,8772,,467405,467405,UCF,359,,BUF,latavius,lataviusmurray,26804,,1690225510270,,true,,,0,0,12,0,0,0,8,0,13,0,0,298,0,0,0,80,0,293,298,0,0,2023-07-28T16:28:35.400Z,2023-07-28T16:50:39.497Z
1426,31,8404,5c48ade7-4b9a-4757-9643-87a6e3839e2b,1,10,D.W. Daniel (SC),218,73,Hopkins,hopkins,DeAndre Hopkins,1426,Active,#deandrehopkins-NFL-TEN-10,00-0030564,,,,WR,1992-06-06,WR,,RWR,nfl,DeAndre,15795,14986,10,8619,,560241,560241,Clemson,47,,TEN,deandre,deandrehopkins,26650,,1690398020200,,true,,,0,0,6,0,0,4,4,0,7,0,51,54,0,0,20,24,0,51,54,0,0,2023-07-28T16:28:35.392Z,2023-07-28T16:50:45.355Z
1992,29,9297,0fd32417-8410-4a8f-8919-386c433bca43,1,11,Orchard Lake St. Mary's (MI),220,74,Robinson,robinson,Allen Robinson,1992,Active,#allenrobinson-NFL-PIT-11,00-0031428,,,,WR,1993-08-24,WR,,SWR,nfl,Allen,16799,16263,9,9264,,609496,609496,Penn State,244,,PIT,allen,allenrobinson,27589,,1690508727186,,true,,,0,0,10,0,0,0,8,0,6,0,0,196,0,0,0,81,0,265,196,0,0,2023-07-28T16:28:35.656Z,2023-07-28T16:50:43.757Z
2197,29,9404,b6b954eb-4591-4b7a-86b9-a481f15fdd58,1,3,Lincoln (CA),189,70,Cooks,cooks,Brandin Cooks,2197,Active,#brandincooks-NFL-DAL-3,00-0031236,,,,WR,1993-09-25,WR,,SWR,nfl,Brandin,16731,16568,9,9260,,607864,607864,Oregon State,93,,DAL,brandin,brandincooks,27548,,1679257810925,,true,,,0,0,7,0,0,6,5,0,7,0,103,96,0,0,45,40,0,99,96,0,0,2023-07-28T16:28:35.930Z,2023-07-28T16:50:45.435Z
2161,31,9651,f77479d7-51a5-41f9-8924-69526dd078cd,3,1,Sprayberry (GA),209,69,McKinnon,mckinnon,Jerick McKinnon,2161,Active,#jerickmckinnon-NFL-KC-1,00-0031376,,,,RB,1992-05-03,RB,,RB,nfl,Jerick,16782,16510,9,9529,,563824,563824,Georgia Southern,123,,KC,jerick,jerickmckinnon,27624,,1683066948503,,true,,,0,0,8,0,0,8,6,0,10,0,142,117,0,0,51,42,0,122,117,0,0,2023-07-28T16:28:35.895Z,2023-07-28T16:50:45.230Z
2216,29,9296,c48c21d9-0ae5-478c-ad34-30a660cfa9b8,1,13,Ball (TX),231,77,Evans,evans,Mike Evans,2216,Active,#mikeevans-NFL-TB-13,00-0031408,,,,WR,1993-08-21,WR,,LWR,nfl,Mike,16737,16597,9,9253,,593587,593587,Texas A&M,75,,TB,mike,mikeevans,27535,,1688224843205,,true,,,0,0,6,0,0,5,5,0,5,0,70,76,0,0,32,34,0,78,76,0,0,2023-07-28T16:28:35.944Z,2023-07-28T16:50:45.388Z
2251,32,9354,b24625a0-d402-4d59-a778-aa4b073bfe5e,1,82,Brookville (VA),250,78,Thomas,thomas,Logan Thomas,2251,Active,#loganthomas-NFL-WAS-82,00-0031260,,,,TE,1991-07-01,TE,,TE,nfl,Logan,16813,16656,9,9323,,507528,507528,Virginia Tech,252,,WAS,logan,loganthomas,27648,,1686786919243,,true,,,0,0,12,0,0,7,5,0,14,0,195,254,0,0,28,32,0,276,254,0,0,2023-07-28T16:28:35.993Z,2023-07-28T16:50:45.302Z
2334,30,10381,c682e8ea-fe48-45d2-af60-682a6125ab22,2,11,St. Thomas Aquinas (FL),192,70,Dorsett,dorsett,Phillip Dorsett,2334,Active,#phillipdorsett-NFL-LV-11,00-0032208,,,,WR,1993-01-05,WR,,RWR,nfl,Phillip,2579604,16790,8,10208,,596417,596417,Miami (FL),9999999,,LV,phillip,phillipdorsett,28417,,1678849854609,,true,,,0,0,16,0,0,0,11,0,13,0,0,531,0,0,0,180,0,0,531,0,0,2023-07-28T16:28:36.168Z,2023-07-28T16:50:44.634Z
2320,30,10284,0f8ccece-d663-4069-944b-f318f64c60b7,2,33,Bradford (WI),215,73,Gordon,gordon,Melvin Gordon,2320,Active,#melvingordon-NFL-BAL-33,00-0032144,,,,RB,1993-04-13,RB,,RB,nfl,Melvin,2576434,16776,8,10064,,606516,606516,Wisconsin,336,,BAL,melvin,melvingordon,28403,,1689959454081,,true,,,0,0,13,0,0,0,9,0,13,0,0,340,0,0,0,97,0,0,340,0,0,2023-07-28T16:28:36.117Z,2023-07-28T16:50:39.602Z
2325,30,10360,cfb0ff68-51cb-4dad-ba81-f9e019a93a91,1,15,Berkeley Prep (FL),200,72,Agholor,agholor,Nelson Agholor,2325,Active,#nelsonagholor-NFL-BAL-15,00-0031549,,,,WR,1993-05-24,WR,,RWR,nfl,Nelson,2971618,16781,8,10132,,691055,691055,USC,9999999,,BAL,nelson,nelsonagholor,28408,,1687198850430,,true,,,0,0,13,0,0,0,9,0,13,0,0,349,0,0,0,114,0,0,349,0,0,2023-07-28T16:28:36.142Z,2023-07-28T16:50:44.024Z
2309,29,10310,00f88be8-45f9-4237-b2b8-3271ec790d07,1,2,Northwestern (FL),211,73,Cooper,cooper,Amari Cooper,2309,Active,#amaricooper-NFL-CLE-2,00-0031544,,,,WR,1994-06-17,WR,Undisclosed,LWR,nfl,Amari,2976499,16765,8,10055,,650914,650914,Alabama,41,,CLE,amari,amaricooper,28392,,1690559432370,Questionable,true,,,0,0,4,0,0,3,3,0,5,0,36,37,0,0,15,16,0,42,37,0,0,2023-07-28T16:28:36.043Z,2023-07-28T16:50:45.340Z
2319,30,10415,e9ee9209-dd8f-4e4a-be3c-407756a2749c,1,1,Ballard (KY),215,75,Parker,parker,DeVante Parker,2319,Active,#devanteparker-NFL-NE-1,00-0031547,,,,WR,1993-01-20,WR,,RWR,nfl,DeVante,2576623,16775,8,10152,,602241,602241,Louisville,222,,NE,devante,devanteparker,28402,,1688321101689,,true,,,0,0,10,0,0,0,8,0,11,0,0,188,0,0,0,80,0,259,188,0,0,2023-07-28T16:28:36.111Z,2023-07-28T16:50:43.708Z
2331,29,10357,0dc98d11-34e4-46f6-96a6-7707c6f29500,,9,Arabia Mountain (GA),215,74,Perriman,perriman,Breshad Perriman,2331,Active,#breshadperriman-NFL-IND-9,00-0032054,,,,WR,1993-09-10,WR,,,nfl,Breshad,2972460,16787,8,10069,,652808,652808,UCF,9999999,,IND,breshad,breshadperriman,28414,,1685981705484,,true,,,0,0,16,0,0,0,12,0,11,0,0,564,0,0,0,199,0,0,564,0,0,2023-07-28T16:28:36.149Z,2023-07-28T16:50:44.684Z
2410,30,10373,8002dd5e-a75a-4d72-9a8c-0f4dbc80d459,2,80,Monroe (NC),185,68,Crowder,crowder,Jamison Crowder,2410,Active,#jamisoncrowder-NFL-NYG-80,00-0031941,,,,WR,1993-06-17,WR,Calf,SWR,nfl,Jamison,2576716,16866,8,10224,,599649,599649,Duke,9999999,,NYG,jamison,jamisoncrowder,28493,,1690324215637,PUP,true,,,0,0,14,0,0,0,9,0,13,0,0,372,0,0,0,121,0,0,372,0,0,2023-07-28T16:28:36.328Z,2023-07-28T16:50:44.090Z
2460,30,10534,19858900-5c8e-49a7-ab02-34ef625724ca,2,87,North Gwinnett (GA),271,77,Uzomah,uzomah,C.J. Uzomah,2460,Active,#cjuzomah-NFL-NYJ-87,00-0032134,,,,TE,1993-01-14,TE,,TE,nfl,C.J.,2574576,16917,8,10462,,593305,593305,Auburn,9999999,,NYJ,cj,cjuzomah,28545,,1690409720925,,true,,,0,0,14,0,0,0,7,0,7,0,0,397,0,0,0,53,0,0,397,0,0,2023-07-28T16:28:36.402Z,2023-07-28T16:50:39.870Z
2446,31,,f22b34cf-6ecf-4522-9c77-1da275dfda7d,,85,Kirkwood (MO),245,74,Pruitt,pruitt,MyCole Pruitt,2446,Active,#mycolepruitt-NFL-ATL-85,00-0031585,,,,TE,1992-03-24,TE,,,nfl,MyCole,2508256,16903,8,10251,,552586,552586,Southern Illinois,468,,ATL,mycole,mycolepruitt,28531,,1690295714547,,true,,,0,0,16,0,0,0,10,0,11,0,0,580,0,0,0,114,0,0,580,0,0,2023-07-28T16:28:36.370Z,2023-07-28T16:50:42.716Z
2545,29,10617,d0f9112d-2496-450a-9fc5-d2d01b4d2454,,84,Pleasant Valley (CA),260,76,Swaim,swaim,Geoff Swaim,2545,Active,#geoffswaim-NFL-ARI-84,00-0032141,,,,TE,1993-09-16,TE,,,nfl,Geoff,3046704,17005,8,10507,,728021,728021,Texas,9999999,,ARI,geoff,geoffswaim,28634,,1690305015745,,true,,,0,0,16,0,0,0,9,0,14,0,0,575,0,0,0,105,0,0,575,0,0,2023-07-28T16:28:36.498Z,2023-07-28T16:50:42.641Z
2505,30,10433,14c97c9f-26e8-4944-9299-f90de6aeada3,1,12,North Cobb (GA),245,78,Waller,waller,Darren Waller,2505,Active,#darrenwaller-NFL-NYG-12,00-0031610,,,,TE,1992-09-13,TE,,TE,nfl,Darren,2576925,16964,8,10215,,600191,600191,Georgia Tech,66,,NYG,darren,darrenwaller,28592,,1690489227681,,true,,,0,0,6,0,0,5,2,0,13,0,88,78,0,0,7,7,0,67,78,0,0,2023-07-28T16:28:36.462Z,2023-07-28T16:50:45.264Z
2673,30,10795,48d7bc31-808f-423c-afc8-45c2c5dfa45f,3,18,Timber Creek Regional (NJ),175,69,Byrd,byrd,Damiere Byrd,2673,Active,#damierebyrd-NFL-CAR-18,00-0031868,,,,WR,1993-01-27,WR,,LWR,nfl,Damiere,2577667,17141,8,10524,,604908,604908,South Carolina,9999999,,CAR,damiere,damierebyrd,28730,,1681617634466,,true,,,0,0,16,0,0,0,12,0,7,0,0,563,0,0,0,198,0,0,563,0,0,2023-07-28T16:28:36.575Z,2023-07-28T16:50:44.683Z
2750,30,10738,9ae2584a-40c1-4b30-be34-a9567659eacd,1,3,Washington (CA),190,68,Carter,carter,DeAndre Carter,2750,Active,#deandrecarter-NFL-LV-3,00-0031763,,,,WR,1993-04-10,WR,,PR,nfl,DeAndre,2580216,17218,8,10234,,612512,612512,Sacramento State,586,,LV,deandre,deandrecarter,28947,,1680114021803,,true,,,0,0,15,0,0,0,10,0,13,0,0,453,0,0,0,146,0,0,453,0,0,2023-07-28T16:28:36.601Z,2023-07-28T16:50:44.307Z
SF,,,,,,,,,49ers,,San Francisco 49ers,SF,,,,,,,DEF,,DEF,,,nfl,San Francisco,,,,,,,,,,,SF,,,,,,,true,,,0,0,10,0,0,0,1,0,9,0,0,191,0,0,0,1,0,126,191,0,0,2023-07-28T16:28:50.535Z,2023-07-28T16:50:39.191Z
3202,28,11301,90c2a93f-d837-4e1b-b57c-56648903a8db,2,82,De La Salle (CA),254,76,Hooper,hooper,Austin Hooper,3202,Active,#austinhooper-NFL-LV-82,00-0032392,,,,TE,1994-10-29,TE,,TE,nfl,Austin,3043275,17963,7,10748,,739424,739424,Stanford,296,,LV,austin,austinhooper,29315,,1685462423060,,true,,,0,0,12,0,0,0,5,0,13,0,0,312,0,0,0,34,0,0,312,0,0,2023-07-28T16:28:36.865Z,2023-07-28T16:50:39.523Z
PHI,,,,,,,,,Eagles,,Philadelphia Eagles,PHI,,,,,,,DEF,,DEF,,,nfl,Philadelphia,,,,,,,,,,,PHI,,,,,,,true,,,0,0,10,0,0,0,1,0,10,0,0,197,0,0,0,3,0,133,197,0,0,2023-07-28T16:28:50.537Z,2023-07-28T16:50:39.201Z
3200,30,11326,1ffc735b-74d8-44d2-ab32-00c5485c799f,,3,Heritage Hall (OK),196,70,Shepard,shepard,Sterling Shepard,3200,Active,#sterlingshepard-NFL-NYG-3,00-0032385,,,,WR,1993-02-10,WR,Knee - ACL,,nfl,Sterling,2976592,17961,7,10988,,691278,691278,Oklahoma,344,,NYG,sterling,sterlingshepard,29274,,1690323916198,PUP,true,Surgery,,0,0,12,0,0,0,8,0,13,0,0,263,0,0,0,96,0,0,263,0,0,2023-07-28T16:28:36.861Z,2023-07-28T16:50:43.913Z
3286,28,11438,46b16198-116f-4913-85db-2bc21462bd66,,15,Peach County (GA),203,73,Robinson,robinson,Demarcus Robinson,3286,Active,#demarcusrobinson-NFL-LAR-15,00-0032775,,,,WR,1994-09-21,WR,,,nfl,Demarcus,3043116,18047,7,11163,,727279,727279,Florida,9999999,,LAR,demarcus,demarcusrobinson,29360,,1686250807585,,true,,,0,0,15,0,0,0,10,0,10,0,0,436,0,0,0,145,0,0,436,0,0,2023-07-28T16:28:36.966Z,2023-07-28T16:50:44.304Z
3269,30,11429,0b504d67-639b-4ba8-979a-498a3086257b,3,11,Thomas Jefferson (FL),200,73,Moore,moore,Chris Moore,3269,Active,#chrismoore-NFL-TEN-11,00-0032398,,,,WR,1993-06-16,WR,,RWR,nfl,Chris,2576581,18030,7,10994,,606551,606551,Cincinnati,9999999,,TEN,chris,chrismoore,29341,,1685201717134,,true,,,0,0,14,0,0,0,10,0,7,0,0,401,0,0,0,136,0,0,401,0,0,2023-07-28T16:28:36.953Z,2023-07-28T16:50:44.251Z
3423,30,11627,e81fb788-1478-4936-ae12-f6ed7ec23476,2,3,Plantation (FL),190,75,Chosen,chosen,Robbie Chosen,3423,Active,#robbiechosen-NFL-MIA-3,00-0032688,,,,WR,1993-05-09,WR,,RWR,nfl,Robbie,2574808,18187,7,11191,,608360,608360,Temple,345,,MIA,robbie,robbiechosen,29785,,1681616735453,,true,,,0,0,13,0,0,0,9,0,10,0,0,348,0,0,0,117,0,0,348,0,0,2023-07-28T16:28:37.171Z,2023-07-28T16:50:44.069Z
4018,27,12147,7797f36e-87e8-4282-b6d2-bdb1774fc3b3,1,28,Freedom (CA),220,73,Mixon,mixon,Joe Mixon,4018,Active,#joemixon-NFL-CIN-28,00-0033897,,,,RB,1996-07-24,RB,,RB,nfl,Joe,3116385,18858,6,11707,,820727,820727,Oklahoma,41,,CIN,joe,joemixon,30161,,1689435647847,,true,,,0,0,4,0,0,4,3,0,7,0,28,30,0,0,15,13,0,41,30,0,0,2023-07-28T16:28:37.736Z,2023-07-28T16:50:45.144Z
4035,28,12172,d9c857b2-97da-4fb8-a527-afbbb2a67413,1,41,Norcross (GA),215,70,Kamara,kamara,Alvin Kamara,4035,Active,#alvinkamara-NFL-NO-41,00-0033906,,,,RB,1995-07-25,RB,,RB,nfl,Alvin,3054850,18878,6,11732,,750846,750846,Tennessee,71,,NO,alvin,alvinkamara,30180,,1690334116499,,true,,,0,0,6,0,0,6,5,0,11,0,67,77,0,0,26,29,0,74,77,0,0,2023-07-28T16:28:37.759Z,2023-07-28T16:50:45.168Z
4033,27,12186,8f86fcea-90e8-49ea-bc78-5c7659313e57,1,85,Cedar Grove (NJ),246,76,Njoku,njoku,David Njoku,4033,Active,#davidnjoku-NFL-CLE-85,00-0033885,,,,TE,1996-07-10,TE,,TE,nfl,David,3123076,18876,6,11734,,832098,832098,Miami (FL),92,,CLE,david,davidnjoku,30142,,1690477526800,,true,,,0,0,8,0,0,5,3,0,5,0,99,102,0,0,9,10,0,95,102,0,0,2023-07-28T16:28:37.755Z,2023-07-28T16:50:45.266Z
3976,28,12135,7a1b8f1a-9024-4897-86b0-01c63e00305e,2,10,Mentor (OH),220,74,Trubisky,trubisky,Mitch Trubisky,3976,Active,#mitchtrubisky-NFL-PIT-10,00-0033869,,,,QB,1994-08-20,QB,,QB,nfl,Mitch,3039707,18811,6,11709,,728169,728169,North Carolina,9999999,,PIT,mitch,mitchtrubisky,30115,,1684434902605,,true,,,0,0,16,0,0,0,7,0,6,0,0,560,0,0,0,55,0,0,560,0,0,2023-07-28T16:28:37.710Z,2023-07-28T16:50:42.417Z
4080,28,12246,a28f7368-0306-4d20-855f-285a1a09c09c,1,7,Stephen F. Austin (TX),200,74,Jones,jones,Zay Jones,4080,Active,#zayjones-NFL-JAX-7,00-0033891,,,,WR,1995-03-30,WR,,RWR,nfl,Zay,3059722,18926,6,11751,,746491,746491,East Carolina,153,,JAX,zay,zayjones,30150,,1677609036952,,true,,,0,0,9,0,0,7,6,0,9,0,159,134,0,0,67,58,0,175,134,0,0,2023-07-28T16:28:37.801Z,2023-07-28T16:50:45.527Z
4054,29,12221,8809c0dd-786b-4255-a7d0-333c9498c19a,1,81,Middleburg Academy (VA),267,77,Alie-Cox,aliecox,Mo Alie-Cox,4054,Active,#moaliecox-NFL-IND-81,00-0033217,,,,TE,1993-09-19,TE,,TE,nfl,Mo,2998565,18900,6,12196,,712506,712506,VCU,9999999,,IND,mo,moaliecox,30112,,1673391617601,,true,,,0,0,14,0,0,0,7,0,11,0,0,398,0,0,0,52,0,0,398,0,0,2023-07-28T16:28:37.785Z,2023-07-28T16:50:39.873Z
4036,28,12169,e21e9081-44aa-464b-8d3e-83918d48b921,2,84,Warrenville South (IL),209,75,Davis,davis,Corey Davis,4036,Active,#coreydavis-NFL-NYJ-84,00-0033871,,,,WR,1995-01-11,WR,,RWR,nfl,Corey,3042778,18879,6,11733,,732121,732121,Western Michigan,269,,NYJ,corey,coreydavis,30118,,1690478127204,,true,,,0,0,11,0,0,0,8,0,7,0,0,225,0,0,0,91,0,308,225,0,0,2023-07-28T16:28:37.762Z,2023-07-28T16:50:43.845Z
4066,28,12205,e21365af-8d66-416e-b0a5-8816d18fcfd9,1,17,Hillgrove (GA),240,75,Engram,engram,Evan Engram,4066,Active,#evanengram-NFL-JAX-17,00-0033881,,,,TE,1994-09-02,TE,,TE,nfl,Evan,3051876,18912,6,11805,,749185,749185,Ole Miss,86,,JAX,evan,evanengram,30136,,1689527454345,,true,,,0,0,7,0,0,5,2,0,9,0,98,92,0,0,8,8,0,80,92,0,0,2023-07-28T16:28:37.792Z,2023-07-28T16:50:45.265Z
4037,27,12201,baa61bb5-f8d0-4f90-bbe2-028576b8d33d,1,14,Middletown (PA),209,73,Godwin,godwin,Chris Godwin,4037,Active,#chrisgodwin-NFL-TB-14,00-0033921,,,,WR,1996-02-27,WR,,RWR,nfl,Chris,3116165,18880,6,11718,,835127,835127,Penn State,59,,TB,chris,chrisgodwin,30197,,1690428621996,,true,,,0,0,6,0,0,4,4,0,5,0,56,56,0,0,23,26,0,65,56,0,0,2023-07-28T16:28:37.764Z,2023-07-28T16:50:45.361Z
4068,28,12183,12f27311-7cd6-4ca5-ba7d-571e9de5e1eb,1,81,Santee Lake Marion (SC),218,76,Williams,williams,Mike Williams,4068,Active,#mikewilliams-NFL-LAC-81,00-0033536,,,,WR,1994-10-04,WR,,LWR,nfl,Mike,3045138,18914,6,11885,,733754,733754,Clemson,65,,LAC,mike,mikewilliams,30120,,1686843925888,,true,,,0,0,6,0,0,4,5,0,5,0,65,65,0,0,29,30,0,69,65,0,0,2023-07-28T16:28:37.794Z,2023-07-28T16:50:45.382Z
4082,26,12219,66a21b6d-97e5-4732-8bb0-062145d6bbc6,1,4,Erasmus Hall (NY),195,71,Samuel,samuel,Curtis Samuel,4082,Active,#curtissamuel-NFL-WAS-4,00-0033282,,,,WR,1996-08-11,WR,,RWR,nfl,Curtis,3121427,18928,6,11710,,821389,821389,Ohio State,195,,WAS,curtis,curtissamuel,30153,,1673291407570,,true,,,0,0,10,0,0,8,7,0,14,0,173,171,0,0,72,70,0,243,171,0,0,2023-07-28T16:28:37.807Z,2023-07-28T16:50:45.545Z
4144,27,12344,e4f25a37-74de-4bfb-b6c9-f50a4fab0b87,2,81,West Port (FL),248,75,Smith,smith,Jonnu Smith,4144,Active,#jonnusmith-NFL-ATL-81,00-0033858,,,,TE,1995-08-22,TE,,TE,nfl,Jonnu,3054212,18990,6,11807,,743749,743749,Florida International,9999999,,ATL,jonnu,jonnusmith,30213,,1678727421216,,true,,,0,0,13,0,0,0,6,0,11,0,0,337,0,0,0,42,0,0,337,0,0,2023-07-28T16:28:37.867Z,2023-07-28T16:50:39.596Z
4147,27,12255,e601812f-ce24-4e99-bee0-e33c1e9014e4,2,25,Hendrickson (TX),236,70,Perine,perine,Samaje Perine,4147,Active,#samajeperine-NFL-DEN-25,00-0033526,,,,RB,1995-09-16,RB,,RB,nfl,Samaje,3116389,18993,6,11698,,820734,820734,Oklahoma,105,,DEN,samaje,samajeperine,30227,,1686855626506,,true,,,0,0,7,0,0,7,6,0,9,0,107,98,0,0,38,37,0,101,98,0,0,2023-07-28T16:28:37.874Z,2023-07-28T16:50:45.207Z
